"","model","tl","fold","mse"
"79","ar",26,"5",1.53590842116688
"80","ar",26,"5",1.01696506998971
"81","ar",26,"5",0.742995610741069
"82","ar",26,"5",0.723966823755474
"83","ar",26,"5",0.843845092889614
"84","ar",26,"5",0.710988241510152
"85","ar",26,"5",0.91079067189513
"86","var",16,"1",0.688435110711606
"87","var",16,"1",0.576692550561333
"88","var",16,"1",0.736820765251155
"89","var",26,"1",0.404635110192339
"90","var",26,"1",0.437112710727769
"91","var",26,"1",0.591952622429186
"92","var",26,"1",0.638246942328857
"93","var",26,"1",0.647654756083384
"94","var",26,"1",0.74514472372415
"95","var",26,"1",0.827193833739597
"96","var",26,"1",0.939922383834928
"97","var",26,"1",0.602935539495872
"98","var",26,"1",0.722335438934205
"99","var",26,"1",0.713493281362435
"100","var",26,"1",0.652901963570877
"101","var",26,"1",0.66315657737308
"102","var",26,"1",0.976429115499119
"103","var",16,"2",1.23604775444608
"104","var",16,"2",0.806505898850299
"105","var",16,"2",1.39109356945533
"106","var",26,"2",0.614777329887185
"107","var",26,"2",0.668483882174206
"108","var",26,"2",0.978508728109461
"109","var",26,"2",0.63229385130228
"110","var",26,"2",0.699585206136485
"111","var",26,"2",0.480185922593407
"112","var",26,"2",0.802657892227405
"113","var",26,"2",0.829544864638101
"114","var",26,"2",1.56114968414889
"115","var",26,"2",0.57522100212767
"116","var",26,"2",0.787187311967919
"117","var",26,"2",0.933875260894225
"118","var",26,"2",1.13848289460619
"119","var",26,"2",0.611554150898269
"120","var",16,"3",0.928055573318482
"121","var",16,"3",0.720943343282623
"122","var",16,"3",0.567061063886913
"123","var",26,"3",1.00061822296937
"124","var",26,"3",0.802876599550706
"125","var",26,"3",1.05951157451055
"126","var",26,"3",0.623222643875081
"127","var",26,"3",0.669476366262134
"128","var",26,"3",0.627637401182583
"129","var",26,"3",1.1237360577179
"130","var",26,"3",0.734283506007393
"131","var",26,"3",0.985140413117396
"132","var",26,"3",0.877003589754611
"133","var",26,"3",0.730417046235339
"134","var",26,"3",0.847892674226624
"135","var",26,"3",0.793864316503234
"136","var",26,"3",0.809078095226403
"137","var",16,"4",0.428876901208217
"138","var",16,"4",0.414820480558575
"139","var",16,"4",0.685955203092308
"140","var",26,"4",0.916602831976319
"141","var",26,"4",1.02708544332333
"142","var",26,"4",0.556399743615883
"143","var",26,"4",0.90694328319113
"144","var",26,"4",1.12420214090493
"145","var",26,"4",0.542952260577441
"146","var",26,"4",0.592190220274049
"147","var",26,"4",0.656260791558021
"148","var",26,"4",0.771488377758078
"149","var",26,"4",0.873398587241778
"150","var",26,"4",0.667163778998763
"151","var",26,"4",0.680027850035115
"152","var",26,"4",1.06775426919289
"153","var",26,"4",0.825073113292789
"154","var",16,"5",2.0036758543386
"155","var",16,"5",0.739765445427489
"156","var",16,"5",0.770829531167248
"157","var",26,"5",0.543237833195394
"158","var",26,"5",0.830443338279821
"159","var",26,"5",0.52781419112918
"160","var",26,"5",0.803151658336484
"161","var",26,"5",0.562892752592208
"162","var",26,"5",0.665115672010843
"163","var",26,"5",1.22639563282383
"164","var",26,"5",1.03975139358605
"165","var",26,"5",0.932726707824394
"166","var",26,"5",0.81795694434908
"167","var",26,"5",0.706434375531107
"168","var",26,"5",0.980359763884938
"169","var",26,"5",0.535923313890932
"170","var",26,"5",0.698617587012595
