"","model","tl","fold","mse"
"200","ar",210,"5",0.690868120423864
"201","ar",210,"5",0.750443463607216
"202","ar",210,"5",0.68111398343773
"203","ar",215,"5",0.767443538519131
"204","ar",215,"5",0.754834702216539
"205","ar",215,"5",0.790780524877904
"206","ar",220,"5",0.747760793146413
"207","ar",220,"5",0.6813758040478
"208","ar",220,"5",0.74833791963858
"209","ar",220,"5",0.717575681909812
"210","ar",225,"5",0.740277296412973
"211","ar",225,"5",0.709914973031884
"212","ar",225,"5",0.643484294571857
"213","ar",225,"5",0.711531797683313
"214","ar",225,"5",0.739681650714917
"215","ar",225,"5",0.676001904918374
"216","ar",225,"5",0.737713810961052
"217","ar",225,"5",0.693201040693111
"218","ar",225,"5",0.748609238554541
"219","ar",225,"5",0.729491951076805
"220","ar",225,"5",0.705181419805282
"221","ar",225,"5",0.712422852623065
"222","ar",225,"5",0.737762240238311
"223","ar",225,"5",0.754252659612442
"224","ar",225,"5",0.741951625991306
"225","ar",225,"5",0.698506117456076
"226","ar",225,"5",0.669806099409833
"227","ar",225,"5",0.781972551427912
"228","ar",225,"5",0.740295088854246
"229","ar",225,"5",0.707417512809284
"230","ar",225,"5",0.712387830638142
"231","var",200,"1",0.721283376568907
"232","var",205,"1",0.704483931148611
"233","var",205,"1",0.73356391746456
"234","var",205,"1",0.660513015733395
"235","var",205,"1",0.736987539410378
"236","var",205,"1",0.638449822354582
"237","var",205,"1",0.720598965208216
"238","var",205,"1",0.707665820041974
"239","var",205,"1",0.617723696203433
"240","var",205,"1",0.635314852049509
"241","var",205,"1",0.673082029471859
"242","var",205,"1",0.732217375819016
"243","var",205,"1",0.683413682786414
"244","var",205,"1",0.735991650358615
"245","var",210,"1",0.691783466158474
"246","var",210,"1",0.775240149495528
"247","var",210,"1",0.697254459076646
"248","var",210,"1",0.726024243631531
"249","var",215,"1",0.825568382227575
"250","var",215,"1",0.72297831899361
"251","var",215,"1",0.683830623470085
"252","var",220,"1",0.683601459988822
"253","var",220,"1",0.695034995107261
"254","var",220,"1",0.713721451262275
"255","var",220,"1",0.726585910859109
"256","var",225,"1",0.724479831856576
"257","var",225,"1",0.6728614707737
"258","var",225,"1",0.687812480377688
"259","var",225,"1",0.695774294584555
"260","var",225,"1",0.708463696217545
"261","var",225,"1",0.676235979840973
"262","var",225,"1",0.729713674594258
"263","var",225,"1",0.702770577648022
"264","var",225,"1",0.750673877808597
"265","var",225,"1",0.760998409422707
"266","var",225,"1",0.742615746306696
"267","var",225,"1",0.665565816192065
"268","var",225,"1",0.647576867454386
"269","var",225,"1",0.732144985076086
"270","var",225,"1",0.676915343909171
"271","var",225,"1",0.717583604004986
"272","var",225,"1",0.733261794108545
"273","var",225,"1",0.715906955081843
"274","var",225,"1",0.694749336675635
"275","var",225,"1",0.688654419476173
"276","var",225,"1",0.760534160218232
"277","var",200,"2",0.769104648152202
"278","var",205,"2",0.671421887454568
"279","var",205,"2",0.795879642242587
"280","var",205,"2",0.704102472380988
"281","var",205,"2",0.683613683569624
"282","var",205,"2",0.776975321931863
"283","var",205,"2",0.747704027122026
"284","var",205,"2",0.717691227654342
"285","var",205,"2",0.67188205136412
"286","var",205,"2",0.726098448567539
"287","var",205,"2",0.715705597273386
"288","var",205,"2",0.728920075073944
"289","var",205,"2",0.712850641608098
"290","var",205,"2",0.696003821434916
"291","var",210,"2",0.729686200961672
"292","var",210,"2",0.701495365034088
"293","var",210,"2",0.780165783217016
"294","var",210,"2",0.696724913704117
"295","var",215,"2",0.713227143092677
"296","var",215,"2",0.712947869921088
"297","var",215,"2",0.718235160209707
"298","var",220,"2",0.709735604012846
"299","var",220,"2",0.693889873154177
"300","var",220,"2",0.774332565974619
"301","var",220,"2",0.796796979973364
"302","var",225,"2",0.686189077274039
"303","var",225,"2",0.670890055075611
"304","var",225,"2",0.673245613652392
"305","var",225,"2",0.726202965150835
"306","var",225,"2",0.671380785046313
"307","var",225,"2",0.69460320260724
"308","var",225,"2",0.645589778830958
"309","var",225,"2",0.712899393263154
"310","var",225,"2",0.744467998140791
"311","var",225,"2",0.757960498227741
"312","var",225,"2",0.701483456608187
"313","var",225,"2",0.709364569806202
"314","var",225,"2",0.687126880660211
"315","var",225,"2",0.748167095883532
"316","var",225,"2",0.70206709868085
"317","var",225,"2",0.742711184075332
"318","var",225,"2",0.757225621638736
"319","var",225,"2",0.650556464101189
"320","var",225,"2",0.727426531121916
"321","var",225,"2",0.700179787497102
"322","var",225,"2",0.672988944301449
"323","var",200,"3",0.737784224024672
"324","var",205,"3",0.754823121795686
"325","var",205,"3",0.690832167595733
"326","var",205,"3",0.635176794455164
"327","var",205,"3",0.667408624999808
"328","var",205,"3",0.687660318395199
"329","var",205,"3",0.69770205157438
"330","var",205,"3",0.623026625845786
"331","var",205,"3",0.688068034120846
"332","var",205,"3",0.768924447247723
"333","var",205,"3",0.69990031669542
"334","var",205,"3",0.680442917217976
"335","var",205,"3",0.780435127230293
"336","var",205,"3",0.695345353386227
"337","var",210,"3",0.670012755260977
"338","var",210,"3",0.70421281457047
"339","var",210,"3",0.696134145149762
"340","var",210,"3",0.701739654227212
"341","var",215,"3",0.748872546102583
"342","var",215,"3",0.787578149178751
"343","var",215,"3",0.747577016825747
"344","var",220,"3",0.703760796360118
"345","var",220,"3",0.730885357760003
"346","var",220,"3",0.687428926710309
"347","var",220,"3",0.676771577675993
"348","var",225,"3",0.671869906193734
"349","var",225,"3",0.646412598341989
"350","var",225,"3",0.720855087056506
"351","var",225,"3",0.737841543707741
"352","var",225,"3",0.699350800087999
"353","var",225,"3",0.717171837479502
"354","var",225,"3",0.659992248241235
"355","var",225,"3",0.6756640884768
"356","var",225,"3",0.762618905799615
"357","var",225,"3",0.688536047709867
"358","var",225,"3",0.698273348529855
"359","var",225,"3",0.692115154937177
"360","var",225,"3",0.678400852009996
"361","var",225,"3",0.634743876445102
"362","var",225,"3",0.763671813002623
"363","var",225,"3",0.691890821827531
"364","var",225,"3",0.727932437418191
"365","var",225,"3",0.707097237646499
"366","var",225,"3",0.707530944681973
"367","var",225,"3",0.730912319470518
"368","var",225,"3",0.709130063813399
"369","var",200,"4",0.767811466390929
"370","var",205,"4",0.643542395983906
"371","var",205,"4",0.682363992461036
"372","var",205,"4",0.696298499626199
"373","var",205,"4",0.726318206154388
"374","var",205,"4",0.702107376471174
"375","var",205,"4",0.676490785448708
"376","var",205,"4",0.627599987962493
"377","var",205,"4",0.724356390191586
"378","var",205,"4",0.763574459871374
"379","var",205,"4",0.700799957235718
"380","var",205,"4",0.745775683835261
"381","var",205,"4",0.70125035214436
"382","var",205,"4",0.688054472010557
"383","var",210,"4",0.663444369920166
"384","var",210,"4",0.679010484350201
"385","var",210,"4",0.648742208029351
"386","var",210,"4",0.683978915766552
"387","var",215,"4",0.713027369369774
"388","var",215,"4",0.732235448735446
"389","var",215,"4",0.756275527936665
"390","var",220,"4",0.710837875021838
"391","var",220,"4",0.691989621766994
"392","var",220,"4",0.688975097606568
"393","var",220,"4",0.685295717100703
"394","var",225,"4",0.653607070054873
"395","var",225,"4",0.710363586495726
"396","var",225,"4",0.709496507520577
"397","var",225,"4",0.722029042936325
"398","var",225,"4",0.692757428026756
"399","var",225,"4",0.69998998576296
"400","var",225,"4",0.674534483908616
"401","var",225,"4",0.704556732026251
"402","var",225,"4",0.744032705590283
"403","var",225,"4",0.694695750790136
"404","var",225,"4",0.698720533100098
"405","var",225,"4",0.653130012817186
"406","var",225,"4",0.754815772502701
"407","var",225,"4",0.747425517791624
"408","var",225,"4",0.829530201425371
"409","var",225,"4",0.692352449357171
"410","var",225,"4",0.731403154401474
"411","var",225,"4",0.737620048391409
"412","var",225,"4",0.705487500875057
"413","var",225,"4",0.762146456405843
"414","var",225,"4",0.728222987579587
"415","var",200,"5",0.779472763449245
"416","var",205,"5",0.702093147098486
"417","var",205,"5",0.739629332876197
"418","var",205,"5",0.763154496915246
"419","var",205,"5",0.736460434065594
"420","var",205,"5",0.674083004583375
"421","var",205,"5",0.658626227853683
"422","var",205,"5",0.744100688008348
"423","var",205,"5",0.682716163874133
"424","var",205,"5",0.663771240577186
"425","var",205,"5",0.674911935107863
"426","var",205,"5",0.69489318615175
"427","var",205,"5",0.63562899529158
"428","var",205,"5",0.688512705412204
"429","var",210,"5",0.767386963156282
"430","var",210,"5",0.692962130617302
"431","var",210,"5",0.753913059991674
"432","var",210,"5",0.702226925556184
"433","var",215,"5",0.762769863769155
"434","var",215,"5",0.737719022054479
"435","var",215,"5",0.794193223611133
"436","var",220,"5",0.733744032550723
"437","var",220,"5",0.672776813446613
"438","var",220,"5",0.750417357155333
"439","var",220,"5",0.723450673010396
"440","var",225,"5",0.743043002372844
"441","var",225,"5",0.674187970859949
"442","var",225,"5",0.646252911032025
"443","var",225,"5",0.693427692931417
"444","var",225,"5",0.718632918387714
"445","var",225,"5",0.654983282536462
"446","var",225,"5",0.716041933093596
"447","var",225,"5",0.675578614146093
"448","var",225,"5",0.735432236908335
"449","var",225,"5",0.730162544609663
"450","var",225,"5",0.681718392675343
"451","var",225,"5",0.697356024825668
"452","var",225,"5",0.722866173270228
"453","var",225,"5",0.744877912075128
"454","var",225,"5",0.749942625051344
"455","var",225,"5",0.68988110969772
"456","var",225,"5",0.679362134074665
"457","var",225,"5",0.773042872415232
"458","var",225,"5",0.72578136534976
"459","var",225,"5",0.685177192087952
"460","var",225,"5",0.711579815596485
